homography,clahe,threshold,components,n,mean_similarity,accuracy_at_0_8
False,False,False,False,5,0.0,0.0
False,False,False,True,5,0.0,0.0
False,False,True,False,5,0.0,0.0
False,False,True,True,5,0.0,0.0
False,True,False,False,5,0.0,0.0
False,True,False,True,5,0.0,0.0
False,True,True,False,5,0.0,0.0
False,True,True,True,5,0.0,0.0
True,False,False,False,5,0.0,0.0
True,False,False,True,5,0.0,0.0
True,False,True,False,5,0.0,0.0
True,False,True,True,5,0.0,0.0
True,True,False,False,5,0.0,0.0
True,True,False,True,5,0.0,0.0
True,True,True,False,5,0.0,0.0
True,True,True,True,5,0.0,0.0
