metric,color_space,window,precision,recall,f1,threshold
HISTCMP_CORREL,RGB,3,0.23684210526315788,0.6,0.33962264150943394,0.0004524809837349597
HISTCMP_CORREL,RGB,1,0.2077922077922078,0.8,0.32989690721649484,0.0005234700410288173
HISTCMP_CORREL,GRAY,3,0.22093023255813954,0.6333333333333333,0.3275862068965517,0.001236382832384253
HISTCMP_CHISQR,GRAY,1,0.2283464566929134,0.48333333333333334,0.31016042780748665,0.30716652466862493
HISTCMP_CORREL,GRAY,5,0.20202020202020202,0.6666666666666666,0.31007751937984496,0.0008453461892156122
HISTCMP_CHISQR,RGB,1,0.20809248554913296,0.6,0.3090128755364807,0.06777213547822097
HISTCMP_CHISQR,RGB,3,0.2222222222222222,0.5,0.3076923076923077,0.04511514939915169
HISTCMP_CORREL,GRAY,1,0.19313304721030042,0.75,0.30716723549488056,0.0014572540216831742
HISTCMP_CHISQR,GRAY,3,0.2248062015503876,0.48333333333333334,0.30687830687830686,0.1854752343519505
HISTCMP_CORREL,RGB,5,0.1971153846153846,0.6833333333333333,0.30597014925373134,0.0002877877298935738
HISTCMP_BHATTACHARYYA,GRAY,1,0.19523809523809524,0.6833333333333333,0.3037037037037037,0.019858326441674453
HISTCMP_BHATTACHARYYA,GRAY,3,0.25287356321839083,0.36666666666666664,0.29931972789115646,0.019858326441674453
HISTCMP_BHATTACHARYYA,RGB,1,0.21481481481481482,0.48333333333333334,0.29743589743589743,0.012375531319314901
HISTCMP_BHATTACHARYYA,HSV,5,0.17843866171003717,0.8,0.2917933130699088,0.017622369319921505
HISTCMP_CHISQR,GRAY,5,0.23255813953488372,0.3333333333333333,0.273972602739726,0.1854752343519505
HISTCMP_INTERSECT,HSV,3,0.15942028985507245,0.9166666666666666,0.2716049382716049,-5.71548572904203
HISTCMP_INTERSECT,HSV,1,0.15789473684210525,0.95,0.27078384798099764,-5.71548572904203
HISTCMP_INTERSECT,HSV,5,0.1582089552238806,0.8833333333333333,0.2683544303797468,-5.71548572904203
HISTCMP_BHATTACHARYYA,HSV,3,0.15472779369627507,0.9,0.26405867970660146,0.017622369319921505
HISTCMP_CHISQR,RGB,5,0.1830065359477124,0.4666666666666667,0.26291079812206575,0.03398509671259676
HISTCMP_CORREL,HSV,5,0.15789473684210525,0.75,0.2608695652173913,0.0002783316009321579
HISTCMP_CORREL,HSV,3,0.1510574018126888,0.8333333333333334,0.2557544757033248,0.00030003141466516947
HISTCMP_BHATTACHARYYA,HSV,1,0.14705882352941177,0.6666666666666666,0.24096385542168675,0.022982321717285422
HISTCMP_CHISQR,HSV,3,0.1419939577039275,0.7833333333333333,0.24040920716112532,0.019007344559696458
HISTCMP_CHISQR,HSV,5,0.15760869565217392,0.48333333333333334,0.23770491803278687,0.022249582848459667
HISTCMP_CHISQR,HSV,1,0.1320754716981132,0.8166666666666667,0.2273781902552204,0.023883000747099953
HISTCMP_INTERSECT,RGB,5,0.3448275862068966,0.16666666666666666,0.2247191011235955,-26.82762607384757
HISTCMP_INTERSECT,GRAY,5,0.1694915254237288,0.3333333333333333,0.2247191011235955,-37.50757126043936
HISTCMP_CORREL,HSV,1,0.12723214285714285,0.95,0.22440944881889763,0.00030003141466516947
HISTCMP_BHATTACHARYYA,RGB,3,0.23529411764705882,0.2,0.21621621621621623,0.010640699046522224
HISTCMP_INTERSECT,RGB,3,0.30303030303030304,0.16666666666666666,0.21505376344086022,-26.82762607384757
HISTCMP_INTERSECT,GRAY,3,0.15503875968992248,0.3333333333333333,0.21164021164021163,-37.50757126043936
HISTCMP_BHATTACHARYYA,GRAY,5,0.15833333333333333,0.31666666666666665,0.2111111111111111,0.014530371418007603
HISTCMP_INTERSECT,RGB,1,0.11728395061728394,0.95,0.2087912087912088,-39.40590719180727
HISTCMP_INTERSECT,GRAY,1,0.12544802867383512,0.5833333333333334,0.20648967551622419,-40.248294593293394
HISTCMP_BHATTACHARYYA,RGB,5,0.11131725417439703,1.0,0.2003338898163606,0.0
